Attrition,Business Travel,CF_age band,CF_attrition label,Department,Education Field,Employee Number,Gender,Job Role,Marital Status,Over Time,Training Times Last Year,Age,CF_current Employee,Daily Rate,Distance From Home,Education,Environment Satisfaction,Hourly Rate,Job Involvement,Job Level,Job Satisfaction,Monthly Income,Monthly Rate,Num Companies Worked,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Standard Hours,Stock Option Level,Total Working Years,Work Life Balance,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
No,Travel_Rarely,40-50,Current Employees,Sales,Other,7206,Female,Laboratory Technician,Divorced,No,3,60,Yes,712,3,Master's Degree,3,49,3,1,1,3810,16603,3,30,4,1,80,1,20,1,40,1,2,12
No,Non-Travel,20-30,Current Employees,Human Resources,Life Sciences,18206,Female,Human Resources,Divorced,Yes,5,39,No,619,40,Bachelor's Degree,1,108,1,3,3,10512,21689,4,14,5,1,80,1,7,5,10,1,2,12
No,Non-Travel,40-50,Current Employees,Sales,Other,95694,Female,Sales Representative,Single,Yes,1,48,No,1073,21,Doctoral Degree,1,85,4,4,3,9272,13337,1,35,1,5,80,0,31,2,3,9,1,0
Yes,Travel_Rarely,50+,Ex-Employees,Sales,Medical,39011,Male,Research Scientist,Married,Yes,5,49,Yes,210,19,Associates Degree,4,92,4,4,3,5307,26150,5,34,3,1,80,1,32,2,38,1,12,17
Yes,Travel_Rarely,30-40,Current Employees,Sales,Medical,45933,Female,Sales Representative,Single,Yes,6,18,No,401,32,Bachelor's Degree,1,80,3,1,1,16401,28322,7,11,4,3,80,1,33,1,2,17,14,11
Yes,Non-Travel,30-40,Ex-Employees,Research & Development,Technical Degree,84295,Female,Sales Executive,Single,Yes,5,27,No,1160,4,Bachelor's Degree,2,52,5,4,5,14484,15863,9,40,2,4,80,3,4,1,34,4,6,11
Yes,Travel_Frequently,<20,Current Employees,Human Resources,Life Sciences,6255,Male,Sales Executive,Single,Yes,0,32,Yes,375,31,Bachelor's Degree,1,77,1,1,5,12121,29740,10,37,4,4,80,2,22,5,13,18,15,4
Yes,Travel_Rarely,20-30,Current Employees,Research & Development,Other,91498,Female,Human Resources,Divorced,Yes,6,31,Yes,857,16,Doctoral Degree,1,66,1,2,3,18377,12387,7,27,2,4,80,2,35,5,35,1,0,8
No,Non-Travel,<20,Current Employees,Sales,Other,22859,Male,Sales Executive,Married,Yes,4,51,Yes,860,50,Bachelor's Degree,1,62,2,3,1,14432,28122,3,39,3,4,80,2,11,2,2,0,13,9
No,Travel_Rarely,50+,Ex-Employees,Research & Development,Technical Degree,79036,Male,Sales Executive,Single,No,4,32,Yes,856,21,Associates Degree,5,108,5,2,5,17292,14557,1,31,1,3,80,1,33,3,28,16,8,8
No,Travel_Frequently,50+,Ex-Employees,Human Resources,Other,57985,Female,Manager,Divorced,Yes,5,19,No,188,34,Bachelor's Degree,3,85,5,5,4,17691,28277,9,39,2,3,80,1,12,3,38,6,11,18
No,Travel_Frequently,50+,Ex-Employees,Human Resources,Medical,74515,Female,Research Scientist,Divorced,Yes,2,43,No,1387,17,Master's Degree,2,113,5,1,5,2731,17013,6,34,5,3,80,1,6,1,31,12,8,17
No,Travel_Frequently,50+,Ex-Employees,Human Resources,Other,3309,Female,Laboratory Technician,Single,No,4,56,Yes,997,5,Doctoral Degree,3,72,3,4,4,8877,23595,8,38,1,4,80,1,5,4,15,20,9,14
No,Travel_Rarely,30-40,Ex-Employees,Research & Development,Medical,32603,Female,Sales Representative,Married,No,6,26,No,885,45,Bachelor's Degree,1,77,1,4,1,12922,24008,4,21,4,4,80,0,24,4,24,5,0,11
No,Travel_Rarely,<20,Ex-Employees,Research & Development,Medical,51638,Male,Sales Representative,Married,No,5,51,Yes,1371,43,Associates Degree,2,58,1,1,4,19285,17317,7,18,4,4,80,0,22,3,40,12,15,1
Yes,Travel_Frequently,40-50,Current Employees,Sales,Life Sciences,3142,Male,Sales Representative,Single,No,4,53,Yes,713,17,Bachelor's Degree,5,94,4,3,5,17680,29388,7,23,5,2,80,3,1,2,27,12,10,13
Yes,Travel_Rarely,40-50,Ex-Employees,Human Resources,Other,15310,Female,Healthcare Representative,Single,Yes,2,55,Yes,1294,16,Associates Degree,3,111,2,5,4,3265,28100,3,20,4,5,80,2,11,2,28,13,8,4
No,Travel_Rarely,40-50,Current Employees,Sales,Technical Degree,38754,Female,Sales Representative,Married,No,4,53,No,251,22,Doctoral Degree,1,115,4,4,2,2613,19995,3,20,2,4,80,1,22,5,21,15,0,5
Yes,Non-Travel,40-50,Current Employees,Research & Development,Technical Degree,43723,Female,Sales Representative,Single,No,3,28,No,1152,43,Master's Degree,2,120,1,5,2,5605,29859,3,36,1,2,80,0,1,1,22,12,8,9
No,Non-Travel,<20,Ex-Employees,Human Resources,Life Sciences,49976,Male,Research Scientist,Single,Yes,5,59,No,863,22,Master's Degree,3,95,4,1,3,1129,28114,10,15,3,1,80,1,10,2,14,4,12,19
No,Travel_Frequently,30-40,Current Employees,Sales,Life Sciences,7837,Male,Laboratory Technician,Married,Yes,3,37,No,833,32,Doctoral Degree,1,58,3,3,1,8511,27604,9,27,5,1,80,0,22,1,9,3,1,0
Yes,Non-Travel,30-40,Ex-Employees,Sales,Other,52682,Male,Research Scientist,Married,No,0,32,No,978,5,Bachelor's Degree,4,55,3,4,1,5200,13113,0,29,1,3,80,0,7,1,29,18,6,15
No,Non-Travel,30-40,Ex-Employees,Human Resources,Other,98547,Male,Research Scientist,Married,Yes,4,23,Yes,552,33,Bachelor's Degree,3,106,5,1,3,18554,16152,4,23,4,4,80,1,14,3,6,10,14,10
Yes,Travel_Frequently,30-40,Ex-Employees,Research & Development,Technical Degree,71908,Male,Research Scientist,Divorced,Yes,5,27,No,672,6,Bachelor's Degree,3,49,5,2,4,3827,22725,7,38,2,2,80,2,10,1,23,20,5,10
No,Travel_Frequently,20-30,Current Employees,Research & Development,Technical Degree,98147,Female,Healthcare Representative,Married,Yes,0,35,No,540,15,Associates Degree,5,39,1,3,3,6357,23268,5,20,4,2,80,1,6,3,33,11,3,19
No,Travel_Rarely,<20,Current Employees,Human Resources,Other,15097,Male,Sales Representative,Divorced,Yes,0,41,No,441,12,Doctoral Degree,4,52,5,2,5,12618,23668,1,13,1,1,80,0,11,1,10,7,11,1
No,Non-Travel,50+,Current Employees,Sales,Other,64564,Male,Sales Executive,Divorced,No,1,53,No,497,38,Master's Degree,5,45,2,3,2,4028,20169,7,32,2,4,80,3,36,1,30,11,4,16
No,Non-Travel,40-50,Ex-Employees,Research & Development,Life Sciences,81623,Male,Human Resources,Married,No,3,28,Yes,827,3,Associates Degree,1,93,5,5,4,12536,15702,2,12,5,5,80,0,5,3,40,16,3,17
No,Non-Travel,<20,Current Employees,Human Resources,Life Sciences,85302,Male,Sales Representative,Divorced,Yes,4,41,Yes,1005,23,Bachelor's Degree,2,31,5,1,4,16591,10453,4,21,2,2,80,2,0,3,7,16,9,3
No,Travel_Frequently,20-30,Ex-Employees,Research & Development,Other,15307,Female,Healthcare Representative,Single,Yes,6,42,Yes,705,41,Associates Degree,5,43,2,4,2,11689,17628,1,18,4,3,80,3,36,2,24,15,4,4
No,Travel_Frequently,<20,Ex-Employees,Sales,Marketing,32958,Female,Human Resources,Single,No,6,41,Yes,973,20,Doctoral Degree,1,62,4,2,5,4964,22678,10,26,3,3,80,3,26,2,34,11,11,1
No,Non-Travel,30-40,Ex-Employees,Research & Development,Technical Degree,71915,Male,Sales Executive,Single,Yes,4,51,Yes,689,19,Doctoral Degree,5,71,4,5,2,9084,25580,5,32,4,1,80,2,27,1,30,12,9,7
No,Travel_Frequently,40-50,Current Employees,Sales,Marketing,80773,Female,Manager,Divorced,Yes,4,45,Yes,1234,44,Doctoral Degree,4,55,3,1,4,12600,25534,8,31,3,1,80,1,8,3,34,11,14,7
No,Travel_Rarely,50+,Ex-Employees,Human Resources,Other,70521,Male,Sales Executive,Single,No,0,59,Yes,1127,6,Bachelor's Degree,3,83,5,5,3,1629,24612,10,25,2,5,80,1,23,5,26,3,5,19
No,Travel_Frequently,30-40,Current Employees,Sales,Other,49834,Male,Sales Representative,Married,Yes,0,19,No,1482,43,Doctoral Degree,3,86,4,4,5,2613,14205,8,37,1,2,80,0,29,2,6,11,14,7
No,Travel_Rarely,50+,Ex-Employees,Research & Development,Other,59205,Male,Human Resources,Single,No,6,46,No,275,22,Bachelor's Degree,2,48,4,5,1,10011,13422,8,21,4,2,80,1,39,3,6,4,4,13
No,Travel_Frequently,20-30,Ex-Employees,Research & Development,Life Sciences,20682,Male,Sales Executive,Divorced,Yes,1,24,Yes,535,2,Bachelor's Degree,4,33,4,2,3,9089,20714,1,39,2,2,80,2,30,3,8,2,4,11
No,Travel_Rarely,40-50,Current Employees,Research & Development,Other,29872,Male,Healthcare Representative,Single,No,0,36,No,1351,47,Bachelor's Degree,4,52,4,3,1,18532,24464,7,36,2,1,80,2,18,5,27,19,15,9
No,Travel_Rarely,40-50,Current Employees,Research & Development,Technical Degree,25105,Female,Laboratory Technician,Married,No,1,55,No,437,38,Bachelor's Degree,3,57,3,2,1,19873,11920,5,18,3,4,80,2,4,2,10,17,9,12
No,Non-Travel,30-40,Current Employees,Human Resources,Life Sciences,13008,Female,Sales Executive,Divorced,No,0,48,Yes,251,14,Associates Degree,2,93,3,3,2,7559,12068,0,27,4,4,80,1,24,4,25,14,0,0
No,Travel_Rarely,40-50,Ex-Employees,Human Resources,Marketing,91941,Male,Healthcare Representative,Married,No,5,23,Yes,803,40,Doctoral Degree,3,55,2,5,2,12181,13824,1,23,3,4,80,2,14,3,23,2,6,15
No,Travel_Frequently,30-40,Current Employees,Sales,Other,9879,Female,Laboratory Technician,Married,Yes,6,53,Yes,429,5,Bachelor's Degree,5,108,5,4,1,7071,23960,0,22,5,1,80,2,10,3,21,4,4,5
No,Travel_Frequently,40-50,Ex-Employees,Research & Development,Other,35334,Male,Human Resources,Married,Yes,5,57,No,241,36,Bachelor's Degree,2,61,5,1,3,12861,15874,9,26,4,3,80,1,7,3,28,6,14,13
No,Non-Travel,50+,Current Employees,Human Resources,Other,15374,Male,Research Scientist,Divorced,No,6,46,Yes,987,31,Bachelor's Degree,5,89,5,2,4,10627,12096,9,14,3,1,80,3,19,3,25,9,0,19
No,Travel_Frequently,<20,Ex-Employees,Research & Development,Technical Degree,51694,Female,Healthcare Representative,Single,No,6,45,No,1248,12,Associates Degree,4,84,3,5,5,16909,19458,4,15,5,2,80,0,21,4,10,17,1,8
No,Travel_Frequently,50+,Ex-Employees,Sales,Other,18745,Female,Research Scientist,Single,Yes,5,24,Yes,452,33,Bachelor's Degree,2,55,2,1,4,12726,10694,9,31,3,4,80,3,18,4,4,0,5,5
No,Travel_Rarely,20-30,Current Employees,Research & Development,Other,74201,Female,Sales Representative,Divorced,No,4,38,No,837,3,Master's Degree,1,75,2,2,4,13436,10172,7,25,2,4,80,3,25,5,14,11,14,1
No,Travel_Rarely,40-50,Current Employees,Human Resources,Technical Degree,37739,Male,Sales Representative,Divorced,No,5,38,Yes,523,47,Associates Degree,4,101,5,1,2,8308,29572,8,23,2,4,80,3,36,1,7,16,7,6
No,Non-Travel,50+,Ex-Employees,Human Resources,Technical Degree,9244,Male,Laboratory Technician,Divorced,No,0,41,Yes,528,49,Doctoral Degree,2,73,5,2,4,12037,28585,3,38,4,3,80,1,38,3,12,9,15,5
No,Travel_Rarely,<20,Current Employees,Research & Development,Technical Degree,7530,Male,Human Resources,Married,No,2,25,Yes,1012,6,Associates Degree,5,60,5,1,2,14770,13673,7,11,2,2,80,3,24,1,5,10,12,11
No,Non-Travel,30-40,Current Employees,Research & Development,Medical,59158,Male,Human Resources,Married,No,5,29,Yes,631,17,Associates Degree,1,118,5,4,3,16452,25072,6,21,2,3,80,0,32,1,17,4,15,7
No,Travel_Rarely,<20,Current Employees,Research & Development,Medical,40411,Male,Sales Executive,Married,Yes,0,51,Yes,611,30,Associates Degree,4,60,3,2,5,15819,10160,1,36,1,4,80,0,14,4,12,17,8,19
No,Travel_Frequently,50+,Current Employees,Human Resources,Medical,13199,Female,Research Scientist,Single,No,5,29,Yes,879,36,Master's Degree,1,38,3,2,5,11728,29469,8,14,2,1,80,1,18,2,19,13,4,1
No,Non-Travel,30-40,Current Employees,Research & Development,Marketing,2493,Male,Human Resources,Single,No,0,37,No,1103,30,Doctoral Degree,1,57,4,5,4,11882,11720,1,39,3,2,80,2,9,1,14,5,15,20
No,Non-Travel,30-40,Current Employees,Research & Development,Medical,49584,Female,Human Resources,Divorced,No,5,43,No,279,4,Master's Degree,3,62,5,4,1,9218,18866,0,40,2,2,80,0,14,5,15,8,5,5
No,Non-Travel,30-40,Current Employees,Research & Development,Marketing,94643,Male,Laboratory Technician,Divorced,No,1,45,Yes,1041,40,Bachelor's Degree,5,77,3,5,3,9698,22332,9,35,3,5,80,0,9,4,24,15,13,13
No,Travel_Rarely,40-50,Current Employees,Human Resources,Medical,96424,Male,Laboratory Technician,Single,Yes,3,57,Yes,918,7,Doctoral Degree,1,117,2,1,3,3843,13662,7,32,4,1,80,0,35,3,13,9,1,5
No,Travel_Rarely,<20,Ex-Employees,Human Resources,Life Sciences,14871,Male,Manager,Married,No,4,20,Yes,1293,17,Doctoral Degree,4,103,1,2,5,16300,23471,3,30,5,3,80,2,10,3,9,20,4,8
No,Non-Travel,20-30,Ex-Employees,Sales,Other,31636,Male,Sales Executive,Married,No,4,39,No,959,44,Doctoral Degree,2,38,2,3,1,19918,11969,9,19,2,4,80,0,12,2,24,13,6,0
No,Non-Travel,50+,Current Employees,Sales,Medical,44141,Female,Sales Representative,Married,No,6,51,No,1042,9,Bachelor's Degree,5,101,5,2,1,9662,11920,4,36,2,3,80,3,9,4,20,0,13,9
No,Travel_Frequently,<20,Current Employees,Sales,Technical Degree,35927,Male,Human Resources,Married,Yes,6,58,Yes,1226,40,Associates Degree,2,60,1,3,5,12364,16693,8,30,3,5,80,3,22,5,31,5,11,4
No,Non-Travel,<20,Current Employees,Research & Development,Other,48003,Male,Human Resources,Single,Yes,4,58,No,1488,12,Associates Degree,2,102,3,1,4,14970,10929,9,26,4,1,80,1,15,2,6,1,12,14
No,Non-Travel,40-50,Current Employees,Sales,Other,70532,Male,Sales Representative,Single,Yes,2,60,No,1313,11,Associates Degree,4,72,1,5,4,8952,26465,3,14,1,3,80,0,24,1,2,3,15,19
No,Non-Travel,30-40,Ex-Employees,Research & Development,Medical,96976,Female,Human Resources,Divorced,No,6,52,No,400,28,Associates Degree,2,58,2,4,4,18944,13425,9,18,4,4,80,3,9,3,1,7,5,20
No,Travel_Frequently,50+,Ex-Employees,Human Resources,Medical,68258,Female,Research Scientist,Single,Yes,6,54,No,567,46,Bachelor's Degree,5,107,4,5,5,10469,19266,5,22,2,3,80,0,4,2,40,0,2,10
No,Travel_Rarely,20-30,Current Employees,Research & Development,Other,86253,Female,Sales Executive,Single,No,1,24,No,1231,26,Bachelor's Degree,2,78,3,5,4,4344,15795,10,36,1,3,80,2,10,5,5,0,13,11
No,Non-Travel,30-40,Current Employees,Human Resources,Life Sciences,3241,Male,Manager,Divorced,Yes,0,47,Yes,719,19,Doctoral Degree,5,62,4,3,1,5317,17882,3,11,1,4,80,2,29,2,40,14,14,7
No,Travel_Rarely,30-40,Current Employees,Human Resources,Marketing,38119,Female,Laboratory Technician,Married,No,1,53,Yes,638,10,Master's Degree,2,88,5,2,2,14964,20556,6,26,5,2,80,1,16,1,8,5,6,0
No,Non-Travel,30-40,Current Employees,Human Resources,Marketing,78823,Male,Human Resources,Single,No,0,54,Yes,189,44,Doctoral Degree,3,64,4,5,2,14694,17310,10,35,2,4,80,0,33,3,23,15,2,17
No,Travel_Rarely,30-40,Ex-Employees,Human Resources,Medical,94299,Male,Manager,Divorced,No,4,36,No,795,6,Associates Degree,3,106,3,1,4,7366,21097,9,13,2,5,80,1,9,2,19,14,9,9
No,Non-Travel,30-40,Ex-Employees,Sales,Technical Degree,31626,Female,Human Resources,Single,Yes,4,34,Yes,197,24,Master's Degree,2,101,4,3,4,13663,16695,3,36,4,1,80,3,29,4,38,6,3,11
No,Travel_Rarely,30-40,Ex-Employees,Sales,Life Sciences,1003,Male,Laboratory Technician,Married,Yes,2,25,Yes,1086,37,Doctoral Degree,2,117,4,1,1,8495,14112,2,28,4,5,80,3,30,2,22,3,14,15
No,Non-Travel,30-40,Current Employees,Human Resources,Medical,79283,Female,Sales Representative,Divorced,Yes,6,26,No,222,41,Master's Degree,3,81,5,2,3,19650,26919,8,31,5,3,80,1,40,1,7,2,7,18
No,Travel_Rarely,20-30,Current Employees,Human Resources,Marketing,77854,Male,Manager,Divorced,Yes,4,28,No,665,10,Doctoral Degree,1,84,3,2,4,14195,29801,3,10,5,4,80,3,29,3,1,16,8,2
No,Non-Travel,<20,Ex-Employees,Research & Development,Life Sciences,40011,Female,Sales Executive,Divorced,No,6,28,Yes,323,39,Bachelor's Degree,3,95,1,2,4,5313,28104,1,16,5,5,80,0,25,5,25,1,14,1
No,Non-Travel,20-30,Ex-Employees,Sales,Other,44100,Male,Sales Executive,Divorced,Yes,6,52,Yes,1469,20,Doctoral Degree,1,47,2,4,3,7397,10852,3,28,4,1,80,3,28,1,2,1,12,12
No,Travel_Frequently,50+,Current Employees,Sales,Other,39612,Female,Laboratory Technician,Divorced,Yes,4,26,Yes,745,39,Doctoral Degree,2,108,4,2,1,6864,16721,6,12,5,2,80,3,21,4,20,10,15,2
No,Non-Travel,<20,Current Employees,Sales,Technical Degree,70850,Female,Human Resources,Divorced,Yes,0,27,No,998,9,Bachelor's Degree,2,50,1,5,2,12190,26514,7,18,2,3,80,2,2,1,24,10,15,1
No,Travel_Frequently,<20,Current Employees,Research & Development,Technical Degree,17295,Female,Sales Representative,Divorced,No,4,37,No,1274,6,Master's Degree,2,85,2,4,2,4386,26453,7,16,5,1,80,3,8,5,22,20,9,18
No,Non-Travel,50+,Ex-Employees,Human Resources,Technical Degree,84302,Male,Manager,Married,Yes,5,28,Yes,1449,13,Associates Degree,1,83,5,5,1,14069,10772,1,15,4,3,80,0,22,4,21,3,1,8
No,Travel_Rarely,50+,Current Employees,Research & Development,Life Sciences,89865,Female,Healthcare Representative,Divorced,Yes,6,46,Yes,1137,33,Master's Degree,5,87,3,3,4,3003,29684,8,32,1,1,80,2,18,4,30,9,1,3
No,Travel_Rarely,30-40,Current Employees,Research & Development,Technical Degree,35969,Male,Human Resources,Single,No,6,27,No,111,3,Associates Degree,3,102,4,1,5,14652,26083,5,38,4,1,80,1,34,2,13,4,4,4
No,Non-Travel,40-50,Ex-Employees,Human Resources,Marketing,81060,Female,Healthcare Representative,Married,Yes,4,39,No,1208,29,Bachelor's Degree,4,80,1,4,3,4079,13675,8,17,5,3,80,1,17,4,23,12,4,16
No,Non-Travel,30-40,Ex-Employees,Research & Development,Technical Degree,852,Male,Research Scientist,Single,No,1,45,No,886,22,Master's Degree,5,106,2,3,2,11212,28287,4,11,2,3,80,2,16,5,23,5,6,8
No,Travel_Frequently,20-30,Current Employees,Research & Development,Life Sciences,47207,Female,Laboratory Technician,Married,Yes,6,60,Yes,1282,26,Master's Degree,2,117,2,4,2,8557,18344,1,16,1,4,80,3,31,1,19,15,3,10
No,Travel_Rarely,50+,Ex-Employees,Research & Development,Life Sciences,59109,Male,Laboratory Technician,Divorced,Yes,3,50,No,138,17,Master's Degree,2,96,1,1,2,8574,28338,5,28,5,3,80,0,7,3,11,9,5,10
No,Non-Travel,20-30,Current Employees,Research & Development,Medical,91025,Male,Manager,Married,No,4,30,Yes,1456,10,Master's Degree,3,39,4,2,1,10639,20392,2,12,3,5,80,3,25,4,17,2,0,4
No,Non-Travel,50+,Current Employees,Sales,Other,16855,Female,Healthcare Representative,Divorced,No,0,40,No,403,41,Master's Degree,1,51,4,3,1,8016,27617,1,30,4,5,80,3,24,5,14,0,2,12
No,Non-Travel,20-30,Ex-Employees,Research & Development,Medical,27186,Female,Sales Representative,Married,Yes,0,33,No,1045,45,Master's Degree,1,63,3,3,1,13695,19205,3,11,3,3,80,0,39,1,34,14,9,2
No,Travel_Rarely,<20,Current Employees,Human Resources,Other,57845,Male,Sales Executive,Married,Yes,5,55,No,508,50,Associates Degree,3,78,2,1,1,18152,12691,10,14,2,3,80,3,9,4,28,10,6,12
No,Travel_Frequently,50+,Current Employees,Research & Development,Marketing,52701,Female,Sales Representative,Single,Yes,5,51,Yes,1064,16,Doctoral Degree,5,110,3,1,4,4098,11831,9,15,4,2,80,3,5,2,32,10,3,5
